code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,utt_mean_f0,utt_med_f0,f0_mean,f0_SD,location
F12_MDQ3_4,F12,F,MDQ3,4,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,1,3,2,H*,% H* ^[L*H] L%,%,L%,V,1315,157,157,469,314,326,413,206,261,6,990,249,354,157,326,326,413,181,225,331,5,883,2,2,3,90.48,80.25,91.96,92.03,92.58,7.826,92.19,92.16,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_4,F12,F,MDQ3,4,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,2,3,3,^[L*H],% H* ^[L*H] L%,%,L%,V,1315,157,469,1315,714,789,1315,530,657,6,990,583,769,469,714,714,789,501,550,719,5,883,5,5,6,90.48,80.25,91.73,91.28,99.12,52.131,94.56,93.76,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_5,F12,F,MDQ3,5,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,1,3,2,(*),% (*) ^[L*H] L%,%,L%,V,1298,140,140,470,339,339,398,218,277,3,987,263,434,140,339,398,470,199,237,419,3,882,2,2,4,89.43,78.98,90.68,90.14,90.92,4.838,90.46,90.44,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_5,F12,F,MDQ3,5,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,2,3,3,^[L*H],% (*) ^[L*H] L%,%,L%,V,1298,140,470,1298,716,797,1298,537,663,3,987,620,762,470,716,716,797,507,583,708,3,882,5,5,6,89.43,78.98,91.14,89.94,95.92,50.757,92.75,92.59,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_1,F12,F,MWH1,1,WHO VALued the VASes,0132,MWH1_0132,6,0,3,1,1,1,H*,% H* L*!H L*H %,%,%,V,1418,0,0,157,157,0.2,157,66,149,56,1135,60,130,0,157,0,157,65,59,128,55,973,1,1,1,90.19,89.23,90.19,90.19,90.69,8.199,90.38,90.31,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_1,F12,F,MWH1,1,WHO VALued the VASes,0132,MWH1_0132,6,0,3,2,3,2,L*!H,% H* L*!H L*H %,%,%,V,1418,0,157,699,446,446,620,262,397,56,1135,384,544,157,446,446,620,245,350,480,55,973,2,2,3,90.19,89.23,89.26,86.02,89.72,26.11,87.67,87.52,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_1,F12,F,MWH1,1,WHO VALued the VASes,0132,MWH1_0132,6,0,3,3,2,2,L*H,% H* L*!H L*H %,%,%,V,1418,0,699,1418,1035,1035,1418,773,918,56,1135,833,1064,699,1035,1035,1418,672,725,924,55,973,5,5,6,90.19,89.23,85.83,84.22,91.59,38.875,87.32,87.11,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_2,F12,F,MWH1,2,WHO VALued the VASes,0132,MWH1_0132,6,0,3,1,1,1,H*,% H* L*!H L*H %,%,%,V,1331,0,0,149,149,-0.004,149,67,146,56,1093,60,119,0,149,0,149,70,62,124,58,971,1,1,1,90.81,90.12,90.81,90.81,91.23,8.261,90.96,90.92,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_2,F12,F,MWH1,2,WHO VALued the VASes,0132,MWH1_0132,6,0,3,2,3,2,L*!H,% H* L*!H L*H %,%,%,V,1331,0,149,674,462,462,604,252,379,56,1093,333,528,149,462,462,604,237,301,467,58,971,2,2,3,90.81,90.12,88.82,86.61,87.70,7.916,86.65,86.46,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_2,F12,F,MWH1,2,WHO VALued the VASes,0132,MWH1_0132,6,0,3,3,2,2,L*H,% H* L*!H L*H %,%,%,V,1331,0,674,1331,1013,1013,1331,754,872,56,1093,821,1056,674,1013,1013,1331,676,735,940,58,971,5,5,6,90.81,90.12,85.63,84.13,90.57,33.648,87.14,87.17,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
