code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_strt_t,foot_end_t,stress_end_t,wrd_fin_syl_strt_t,wrd_end_t,v_onset_t,v_offset_t,strt_t,end_t,l_t,h_t,l_syl_strt_t,l_syl_end_t,h_syl_strt_t,h_syl_end_t,v_sylNormT,l_sylNormT,h_sylNormT,v_syl,l_syl,h_syl,v_syl_ratio,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,intercept_st,mean_st,med_st,location
F5_A0423_2,F5,F,A0423,2,VALerie's is VALid.,042,A0423_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,869,0,509,869,718,718,869,567,666,28,803,676,793,509,718,718,869,654,780,930,5,5,6,0.28,0.80,0.50,93.61,95.45,91.55,91.55,91.55,59.701,29.226,91.79,91.34,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_3,F5,F,A0423,3,VALerie's is VALid.,042,A0423_042,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,918,0,0,518,186,218,396,20,127,24,812,104,313,0,186,218,396,23,117,368,1,1,3,0.11,0.56,0.53,93.31,94.35,93.32,91.05,91.05,9.46,88.249,93.20,93.20,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_3,F5,F,A0423,3,VALerie's is VALid.,042,A0423_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,918,0,518,918,743,743,918,571,680,24,812,681,811,518,743,743,918,644,762,908,5,5,6,0.24,0.72,0.39,93.31,94.35,91.05,91.05,91.05,45.229,43.59,91.55,91.44,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r1,F5,F,A0423,r1,VALerie's is VALid,042,A0423_042,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,885,0,0,468,177,210,382,23,111,23,790,118,300,0,177,210,382,27,140,366,1,1,3,0.13,0.67,0.52,93.00,96.43,93.00,90.53,90.53,31.132,72.688,94.16,94.22,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r1,F5,F,A0423,r1,VALerie's is VALid,042,A0423_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,885,0,468,885,713,713,885,531,642,23,790,638,767,468,713,713,885,649,754,893,5,5,6,0.26,0.69,0.31,93.00,96.43,90.53,90.53,90.53,82.009,-5.277,91.58,91.46,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r2,F5,F,A0423,r2,VALerie's is VALid,042,A0423_042,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,938,0,0,533,181,217,415,21,119,18,854,120,325,0,181,217,415,24,139,370,1,1,3,0.12,0.66,0.55,93.40,96.08,93.34,90.24,90.24,26.98,81.622,93.66,93.68,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r2,F5,F,A0423,r2,VALerie's is VALid,042,A0423_042,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,938,0,533,938,790,790,938,602,715,18,854,701,838,533,790,790,938,652,745,895,5,5,6,0.27,0.65,0.32,93.40,96.08,90.24,90.24,90.24,72.724,19.43,91.58,91.19,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r3,F5,F,A0423,r3,VALerie's is VALid,042,A0423_042,6,0,2,1,4,3,>H*,%H >H* L*H %,%H,%,V1,936,0,0,520,209,253,420,34,147,34,822,105,328,0,209,253,420,34,106,350,1,1,3,0.16,0.50,0.45,93.89,95.82,93.89,90.43,90.43,8.102,88.704,93.93,94.07,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r3,F5,F,A0423,r3,VALerie's is VALid,042,A0423_042,6,0,2,2,2,2,L*H,%H >H* L*H %,%H,%,V2,936,0,520,936,761,761,936,568,699,34,822,675,820,520,761,761,936,635,742,897,5,5,6,0.20,0.64,0.34,93.89,95.82,90.43,90.43,90.43,55.611,26.431,91.86,91.48,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A1111_1,F5,F,A1111,1,They KNOW VAL,111,A1111_111,3,1,2,1,1,1,H*,%H H* L*H %,%H,%,V1,661,92,92,262,262,92,262,140,262,16,592,150,222,92,262,92,262,160,170,249,2,2,2,0.28,0.34,0.76,92.78,89.36,91.68,88.66,88.66,8.513,88.15,91.89,91.83,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
