code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,ana_text,nuc_pre_text,ana_has_word_end,nuc_is_new_word,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,lh_slope,lh_slope_z,lh_mean_f0,lh_med_f0,utt_mean_f0,utt_slope,utt_slope_z,spkr_f0_mean,spkr_f0_SD,location
F5_A0423_2,F5,F,A0423,2,VALerie's is VALid.,042,A0423_042,NA,erie's is,0,1,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,869,0,509,869,718,718,869,567,666,28,803,676,793,509,718,718,869,654,780,930,31,944,5,5,6,0.80,0.50,93.61,95.45,91.55,89.22,95.31,59.701,28.227,91.79,91.34,92.77,-3.021,-1.429,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_3,F5,F,A0423,3,VALerie's is VALid.,042,A0423_042,NA,erie's is,0,1,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,918,0,0,518,186,218,396,20,127,24,812,104,313,0,186,218,396,23,117,368,27,909,1,1,3,0.56,0.53,93.31,94.35,93.32,92.40,94.15,9.46,4.473,93.20,93.20,92.17,-3.541,-1.674,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_3,F5,F,A0423,3,VALerie's is VALid.,042,A0423_042,NA,erie's is,0,1,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,918,0,518,918,743,743,918,571,680,24,812,681,811,518,743,743,918,644,762,908,27,909,5,5,6,0.72,0.39,93.31,94.35,91.05,89.31,94.35,45.229,21.385,91.55,91.44,92.17,-3.541,-1.674,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r1,F5,F,A0423,r1,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,885,0,0,468,177,210,382,23,111,23,790,118,300,0,177,210,382,27,140,366,27,920,1,1,3,0.67,0.52,93.00,96.43,93.00,91.89,96.44,31.132,14.72,94.16,94.22,92.40,-3.299,-1.56,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r1,F5,F,A0423,r1,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,885,0,468,885,713,713,885,531,642,23,790,638,767,468,713,713,885,649,754,893,27,920,5,5,6,0.69,0.31,93.00,96.43,90.53,87.03,96.33,82.009,38.775,91.58,91.46,92.40,-3.299,-1.56,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r2,F5,F,A0423,r2,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,938,0,0,533,181,217,415,21,119,18,854,120,325,0,181,217,415,24,139,370,21,917,1,1,3,0.66,0.55,93.40,96.08,93.34,91.46,96.07,26.98,12.757,93.66,93.68,92.51,-2.648,-1.252,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r2,F5,F,A0423,r2,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,938,0,533,938,790,790,938,602,715,18,854,701,838,533,790,790,938,652,745,895,21,917,5,5,6,0.65,0.32,93.40,96.08,90.24,87.89,96.18,72.724,34.385,91.58,91.19,92.51,-2.648,-1.252,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r3,F5,F,A0423,r3,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,1,4,3,>H*,%H >H* L*H %,%H,%,V1,936,0,0,520,209,253,420,34,147,34,822,105,328,0,209,253,420,34,106,350,34,900,1,1,3,0.50,0.45,93.89,95.82,93.89,93.24,94.43,8.102,3.831,93.93,94.07,92.35,-4.168,-1.971,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_r3,F5,F,A0423,r3,VALerie's is VALid,042,A0423_042,NA,erie's is,0,1,6,0,2,2,2,2,L*H,%H >H* L*H %,%H,%,V2,936,0,520,936,761,761,936,568,699,34,822,675,820,520,761,761,936,635,742,897,34,900,5,5,6,0.64,0.34,93.89,95.82,90.43,88.97,95.78,55.611,26.294,91.86,91.48,92.35,-4.168,-1.971,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A1111_1,F5,F,A1111,1,They KNOW VAL,111,A1111_111,they,NA,1,1,3,1,2,1,1,1,H*,%H H* L*H %,%H,%,V1,661,92,92,262,262,92,262,140,262,16,592,150,222,92,262,92,262,160,170,249,19,631,2,2,2,0.34,0.76,92.78,89.36,91.68,91.69,92.31,8.513,4.025,91.89,91.83,89.64,-11.251,-5.32,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
